xt,yt,zt
-0.56666315,-0.044850897,-0.8227279
-0.54319054,-0.08955575,-0.8348196
-0.499501,-0.0913037,-0.8614884
-0.51792294,-0.13317688,-0.84499687
-0.47563562,-0.13848968,-0.8686722
-0.45427114,-0.093278974,-0.88596654
-0.43074337,-0.14017494,-0.8915218
-0.4067748,-0.0943704,-0.908641
-0.38393515,-0.13633461,-0.91323966
-0.35999677,-0.09222622,-0.928384
-0.33464152,-0.04797232,-0.9411236
-0.30973703,-0.09747196,-0.94581294
-0.2685183,-0.13400765,-0.9539077
-0.47800213,-0.04672064,-0.87711525
-0.49763802,-0.17825212,-0.84887135
-0.43096855,-0.04766341,-0.90110725
-0.9233469,-0.043989737,-0.3814386
-0.047188133,-0.234502,-0.97096974
-0.047265787,-0.28368542,-0.9577518
-0.092994966,-0.25870928,-0.96146846
-0.23442926,-0.970637,-0.053911835
-0.7600812,-0.64821404,-0.045774043
-0.7440092,-0.6610897,-0.097008556
-0.7056803,-0.7028847,-0.08926604
-0.7182129,-0.68264437,-0.13478442
-0.1359583,-0.98944336,-0.050171353
-0.18915778,-0.97734183,-0.09498513
-0.5662642,-0.823036,-0.044234753
-0.5450792,-0.83372504,-0.08826842
-0.18331158,-0.044059485,-0.98206705
-0.15862146,-0.08878025,-0.98333997
-0.687823,-0.72449875,-0.04473281
-0.66725814,-0.7396911,-0.0873127
-0.6494246,-0.04682781,-0.7589829
-0.9578836,-0.28359336,-0.045096014
-0.9619884,-0.25789377,-0.08982908
-0.9741463,-0.20649093,-0.09165436
-0.9473067,-0.30789265,-0.08838664
-0.96310794,-0.23289849,-0.13483863
-0.9740774,-0.17631209,-0.14173003
-0.9419011,-0.33290327,-0.044697158
-0.9901914,-0.043168146,-0.13288124
-0.9835014,-0.08544364,-0.15945087
-0.82337457,-0.565862,-0.043065287
-0.83275175,-0.5453086,-0.095723666
-0.47749954,-0.87754333,-0.043724492
-0.45572838,-0.8858572,-0.08699766
-0.28696635,-0.045843996,-0.956843
-0.82090694,-0.0455809,-0.5692399
-0.043449752,-0.68874717,-0.72369844
-0.08781594,-0.67194027,-0.7353806
-0.041738287,-0.7598238,-0.6487879
-0.09298509,-0.7683035,-0.63329566
-0.04460488,-0.4772273,-0.8776471
-0.95019317,-0.28246567,-0.13170376
-0.30695283,-0.78037626,-0.544787
-0.2682623,-0.6400553,-0.7199755
-0.30514994,-0.6579659,-0.6884507
-0.6521045,-0.2417397,-0.7185552
-0.36371592,-0.881879,-0.30000022
-0.37977245,-0.85875934,-0.34395534
-0.7140686,-0.5168766,-0.47217014
-0.51102316,-0.34601584,-0.78684705
-0.4739067,-0.3813151,-0.79373246
-0.43261033,-0.3690314,-0.822596
-0.43482918,-0.41381195,-0.79980206
-0.57391745,-0.22389151,-0.78771275
-0.27985674,-0.9378549,-0.20520325
-0.5894398,-0.36485818,-0.72072136
-0.3760027,-0.7993167,-0.46873745
-0.3886791,-0.7682926,-0.5085814
-0.4223889,-0.7752773,-0.4696091
-0.8520511,-0.09565387,-0.51464474
-0.9651688,-0.13051014,-0.22675161
-0.39267612,-0.57168746,-0.7204018
-0.7255521,-0.30267647,-0.6180301
-0.69456536,-0.34181595,-0.63304096
-0.69467866,-0.38677013,-0.6064903
-0.5523784,-0.4895934,-0.67466766
-0.5903406,-0.45455927,-0.6669886
-0.515189,-0.48015535,-0.70995146
-0.5161905,-0.43606704,-0.737152
-0.6532828,-0.6975925,-0.29425514
-0.091424935,-0.35684294,-0.9296798
-0.092700705,-0.30709574,-0.947153
-0.65473944,-0.5092027,-0.55859554
-0.5788834,-0.5794352,-0.5737149
-0.31044754,-0.93644273,-0.16339353
-0.31208587,-0.4099632,-0.85704875
-0.31056488,-0.3648059,-0.877762
-0.17653698,-0.49102643,-0.85306966
-0.2048916,-0.5544191,-0.8066219
-0.7554068,-0.39602014,-0.5220427
-0.78301615,-0.39841235,-0.47765395
-0.8103762,-0.22695145,-0.5401697
-0.55364573,-0.6900729,-0.46612862
-0.54279464,-0.72360283,-0.42634842
-0.8258353,-0.4394191,-0.3534217
-0.8176215,-0.47870645,-0.3198986
-0.8457698,-0.4377714,-0.3050075
-0.26539505,-0.86726815,-0.42120248
-0.23086894,-0.85779876,-0.45921755
-0.2333855,-0.91356313,-0.333067
-0.4724048,-0.81058466,-0.34610128
-0.8113936,-0.35779127,-0.46219683
-0.8611494,-0.27428785,-0.42800435
-0.9034052,-0.26922008,-0.33373594
-0.74035406,-0.519092,-0.42710567
-0.71943873,-0.5949763,-0.35834512
-0.4541284,-0.6733748,-0.58338135
-0.46821272,-0.5952358,-0.65304756
-0.22513737,-0.3724284,-0.900339
-0.9142979,-0.38262442,-0.1328836
-0.7440387,-0.17069167,-0.64596504
-0.4415034,-0.85873765,-0.26008534
-0.9223311,-0.22416414,-0.3147312
-0.8517656,-0.47439197,-0.22236837
-0.39476278,-0.88184035,-0.2579147
-0.14774041,-0.9605616,-0.23557264
-0.744683,-0.62763315,-0.22698876
-0.9295989,-0.30582994,-0.20570327
-0.19789578,-0.7354316,-0.64805675
-0.42850867,-0.32311243,-0.8437883
-0.17342237,-0.80215514,-0.5713772
-0.34070826,-0.2966091,-0.8921552
-0.3194292,-0.7470303,-0.58301854
-0.9822423,-0.18206188,-0.04531709
-0.04332402,-0.13773398,-0.9895213
-0.64893824,-0.7595735,-0.043899007
-0.9308621,-0.08928149,-0.35429436
-0.13539204,-0.78601867,-0.6031945
-0.55366176,-0.44612646,-0.7031571
-0.35288957,-0.381729,-0.85425514
-0.98361325,-0.15568784,-0.090918384
-0.99090666,-0.104571104,-0.08466887
-0.087489806,-0.4946537,-0.8646753
-0.6954466,-0.59381795,-0.40464076
-0.8119999,-0.27227682,-0.5162572
-0.64560145,-0.1939709,-0.7386299
-0.6068784,-0.18538122,-0.7728728
-0.26753688,-0.3439635,-0.9000629
-0.903817,-0.22646672,-0.36308077
-0.2160006,-0.8833078,-0.41606626
-0.434189,-0.7432577,-0.50896764
-0.31352058,-0.6189994,-0.72010034
-0.41109702,-0.86005026,-0.30218023
-0.35427776,-0.75893784,-0.546352
-0.7265483,-0.34813377,-0.59239393
-0.9306394,-0.35515416,-0.08818094
-0.08405131,-0.9926037,-0.087597445
-0.14754635,-0.7526478,-0.6416786
-0.098623596,-0.9684676,-0.22878788
-0.87175375,-0.39587638,-0.2886646
-0.7059729,-0.55594695,-0.43877697
-0.2911312,-0.94910645,-0.12016464
-0.628909,-0.7576329,-0.17454481
-0.853087,-0.39779076,-0.33764628
-0.5852472,-0.0901932,-0.8058232
-0.09396229,-0.8708372,-0.48250762
-0.20019466,-0.9063913,-0.37199032
-0.5534604,-0.4013565,-0.7297907
-0.51454633,-0.3915992,-0.76281846
-0.7566329,-0.35304177,-0.5503346
-0.8360491,-0.47682515,-0.27140355
-0.45717677,-0.8359327,-0.3036542
-0.33691558,-0.9406215,-0.041461874
-0.67887706,-0.5527524,-0.48331228
-0.40016663,-0.7354602,-0.5467769
-0.040847816,-0.95796293,-0.283969
-0.5672198,-0.17828463,-0.8040376
-0.95818466,-0.04385995,-0.28276926
-0.64942056,-0.548547,-0.5266395
-0.14916463,-0.9187226,-0.36564824
-0.5013628,-0.80995446,-0.30431715
-0.8237479,-0.5146761,-0.23779827
-0.7848822,-0.35648704,-0.50683033
-0.09300296,-0.9288778,-0.35851988
-0.47675493,-0.42559752,-0.76913685
-0.41092756,-0.7005701,-0.5833867
-0.86143285,-0.50035924,-0.0870292
